FIPSCode,LocationType,Location,ParentCounty,TypeofSchool,StaffResponse,TimeFrame,DataFormat,Data
06612630,School District,Emery Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,0.0
06612630,School District,Emery Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06612630,School District,Emery Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,N_A
06612630,School District,Emery Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,N_A
06612630,School District,Emery Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,N_A
06612630,School District,Emery Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,N_A
06614400,School District,Fremont Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,20.5
06614400,School District,Fremont Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,66.7
06614400,School District,Fremont Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,12.8
06614400,School District,Fremont Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,0.0
06614400,School District,Fremont Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,0.0
06616740,School District,Hayward Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06616740,School District,Hayward Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,N_A
06616740,School District,Hayward Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,N_A
06616740,School District,Hayward Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,N_A
06616740,School District,Hayward Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06616740,School District,Hayward Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,6.9
06616740,School District,Hayward Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,47.3
06616740,School District,Hayward Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,41.7
06616740,School District,Hayward Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,4.0
06616740,School District,Hayward Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,0.1
06622110,School District,Livermore Valley Joint Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,13.8
06622110,School District,Livermore Valley Joint Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,62.5
06622110,School District,Livermore Valley Joint Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,23.7
06622110,School District,Livermore Valley Joint Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,0.0
06622110,School District,Livermore Valley Joint Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,0.0
06622110,School District,Livermore Valley Joint Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,13.3
06622110,School District,Livermore Valley Joint Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,60.0
06622110,School District,Livermore Valley Joint Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,24.8
06622110,School District,Livermore Valley Joint Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,1.9
06622110,School District,Livermore Valley Joint Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,0.0
06627060,School District,Newark Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06627060,School District,Newark Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,N_A
06627060,School District,Newark Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,N_A
06627060,School District,Newark Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,N_A
06627060,School District,Newark Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06627060,School District,Newark Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06627060,School District,Newark Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,N_A
06627060,School District,Newark Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,N_A
06627060,School District,Newark Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,N_A
06627060,School District,Newark Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,N_A
06628050,School District,Oakland Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,16.1
06628050,School District,Oakland Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,46.1
06628050,School District,Oakland Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,32.1
06628050,School District,Oakland Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,5.2
06628050,School District,Oakland Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,0.5
06628050,School District,Oakland Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,15.9
06628050,School District,Oakland Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,47.2
06628050,School District,Oakland Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,31.8
06628050,School District,Oakland Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,4.7
06628050,School District,Oakland Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,0.5
06630330,School District,Piedmont City Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06630330,School District,Piedmont City Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,N_A
06630330,School District,Piedmont City Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,N_A
06630330,School District,Piedmont City Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,N_A
06630330,School District,Piedmont City Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,N_A
06634680,School District,San Leandro Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,S
06634680,School District,San Leandro Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,S
06634680,School District,San Leandro Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,S
06634680,School District,San Leandro Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,S
06634680,School District,San Leandro Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,S
06634710,School District,San Lorenzo Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06634710,School District,San Lorenzo Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,N_A
06634710,School District,San Lorenzo Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,N_A
06634710,School District,San Lorenzo Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,N_A
06634710,School District,San Lorenzo Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06634710,School District,San Lorenzo Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06634710,School District,San Lorenzo Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,N_A
06634710,School District,San Lorenzo Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,N_A
06634710,School District,San Lorenzo Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,N_A
06634710,School District,San Lorenzo Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,N_A
06600019,School District,Dublin Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,S
06600019,School District,Dublin Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,S
06600019,School District,Dublin Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,S
06600019,School District,Dublin Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,S
06600019,School District,Dublin Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,S
06600019,School District,Dublin Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06600019,School District,Dublin Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,N_A
06600019,School District,Dublin Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,N_A
06600019,School District,Dublin Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,N_A
06600019,School District,Dublin Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,N_A
06600020,School District,Pleasanton Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,25.5
06600020,School District,Pleasanton Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,67.9
06600020,School District,Pleasanton Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,6.3
06600020,School District,Pleasanton Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,0.3
06600020,School District,Pleasanton Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,0.0
06600020,School District,Pleasanton Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,22.4
06600020,School District,Pleasanton Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,69.7
06600020,School District,Pleasanton Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,7.9
06600020,School District,Pleasanton Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,0.0
06600020,School District,Pleasanton Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,0.0
06003,County,Alpine County,,Elementary School,Nearly All Students,2011_2013,Percent,0.0
06003,County,Alpine County,,Elementary School,Most Students,2011_2013,Percent,42.9
06003,County,Alpine County,,Elementary School,Some Students,2011_2013,Percent,57.1
06003,County,Alpine County,,Elementary School,Few Students,2011_2013,Percent,0.0
06003,County,Alpine County,,Elementary School,Almost No Students,2011_2013,Percent,0.0
06003,County,Alpine County,,Elementary School,Nearly All Students,2013_2015,Percent,0.0
06003,County,Alpine County,,Elementary School,Most Students,2013_2015,Percent,60.0
06003,County,Alpine County,,Elementary School,Some Students,2013_2015,Percent,40.0
06003,County,Alpine County,,Elementary School,Few Students,2013_2015,Percent,0.0
06003,County,Alpine County,,Elementary School,Almost No Students,2013_2015,Percent,0.0
06602070,School District,Alpine County Unified,Alpine County,Elementary School,Nearly All Students,2011_2013,Percent,0.0
06602070,School District,Alpine County Unified,Alpine County,Elementary School,Most Students,2011_2013,Percent,42.9
06602070,School District,Alpine County Unified,Alpine County,Elementary School,Some Students,2011_2013,Percent,57.1
06602070,School District,Alpine County Unified,Alpine County,Elementary School,Few Students,2011_2013,Percent,0.0
06602070,School District,Alpine County Unified,Alpine County,Elementary School,Almost No Students,2011_2013,Percent,0.0
06602070,School District,Alpine County Unified,Alpine County,Elementary School,Nearly All Students,2013_2015,Percent,0.0
06602070,School District,Alpine County Unified,Alpine County,Elementary School,Most Students,2013_2015,Percent,60.0
06602070,School District,Alpine County Unified,Alpine County,Elementary School,Some Students,2013_2015,Percent,40.0
06602070,School District,Alpine County Unified,Alpine County,Elementary School,Few Students,2013_2015,Percent,0.0
06602070,School District,Alpine County Unified,Alpine County,Elementary School,Almost No Students,2013_2015,Percent,0.0
06007,County,Butte County,,Elementary School,Nearly All Students,2011_2013,Percent,S
06007,County,Butte County,,Elementary School,Most Students,2011_2013,Percent,S
06007,County,Butte County,,Elementary School,Some Students,2011_2013,Percent,S
06007,County,Butte County,,Elementary School,Few Students,2011_2013,Percent,S
06007,County,Butte County,,Elementary School,Almost No Students,2011_2013,Percent,S
06605040,School District,Biggs Unified,Butte County,Elementary School,Nearly All Students,2011_2013,Percent,16.7
06605040,School District,Biggs Unified,Butte County,Elementary School,Most Students,2011_2013,Percent,33.3
06605040,School District,Biggs Unified,Butte County,Elementary School,Some Students,2011_2013,Percent,50.0
06605040,School District,Biggs Unified,Butte County,Elementary School,Few Students,2011_2013,Percent,0.0
06605040,School District,Biggs Unified,Butte County,Elementary School,Almost No Students,2011_2013,Percent,0.0
06608370,School District,Chico Unified,Butte County,Elementary School,Nearly All Students,2011_2013,Percent,S
06608370,School District,Chico Unified,Butte County,Elementary School,Most Students,2011_2013,Percent,S
06608370,School District,Chico Unified,Butte County,Elementary School,Some Students,2011_2013,Percent,S
06608370,School District,Chico Unified,Butte County,Elementary School,Few Students,2011_2013,Percent,S
06608370,School District,Chico Unified,Butte County,Elementary School,Almost No Students,2011_2013,Percent,S
06611730,School District,Durham Unified,Butte County,Elementary School,Nearly All Students,2011_2013,Percent,50.0
06611730,School District,Durham Unified,Butte County,Elementary School,Most Students,2011_2013,Percent,50.0
06611730,School District,Durham Unified,Butte County,Elementary School,Some Students,2011_2013,Percent,0.0
06611730,School District,Durham Unified,Butte County,Elementary School,Few Students,2011_2013,Percent,0.0
06611730,School District,Durham Unified,Butte County,Elementary School,Almost No Students,2011_2013,Percent,0.0
06629130,School District,Oroville Union High,Butte County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06629130,School District,Oroville Union High,Butte County,Elementary School,Most Students,2011_2013,Percent,N_A
06629130,School District,Oroville Union High,Butte County,Elementary School,Some Students,2011_2013,Percent,N_A
06629130,School District,Oroville Union High,Butte County,Elementary School,Few Students,2011_2013,Percent,N_A
06629130,School District,Oroville Union High,Butte County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06629540,School District,Palermo Union Elementary,Butte County,Elementary School,Nearly All Students,2011_2013,Percent,S
06629540,School District,Palermo Union Elementary,Butte County,Elementary School,Most Students,2011_2013,Percent,S
06629540,School District,Palermo Union Elementary,Butte County,Elementary School,Some Students,2011_2013,Percent,S
06629540,School District,Palermo Union Elementary,Butte County,Elementary School,Few Students,2011_2013,Percent,S
06629540,School District,Palermo Union Elementary,Butte County,Elementary School,Almost No Students,2011_2013,Percent,S
06639180,School District,Thermalito Union Elementary,Butte County,Elementary School,Nearly All Students,2011_2013,Percent,2.3
06639180,School District,Thermalito Union Elementary,Butte County,Elementary School,Most Students,2011_2013,Percent,62.8
06639180,School District,Thermalito Union Elementary,Butte County,Elementary School,Some Students,2011_2013,Percent,34.9
06639180,School District,Thermalito Union Elementary,Butte County,Elementary School,Few Students,2011_2013,Percent,0.0
06639180,School District,Thermalito Union Elementary,Butte County,Elementary School,Almost No Students,2011_2013,Percent,0.0
06600051,School District,Gridley Unified,Butte County,Elementary School,Nearly All Students,2011_2013,Percent,S
06600051,School District,Gridley Unified,Butte County,Elementary School,Most Students,2011_2013,Percent,S
06600051,School District,Gridley Unified,Butte County,Elementary School,Some Students,2011_2013,Percent,S
06600051,School District,Gridley Unified,Butte County,Elementary School,Few Students,2011_2013,Percent,S
06600051,School District,Gridley Unified,Butte County,Elementary School,Almost No Students,2011_2013,Percent,S
06009,County,Calaveras County,,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06009,County,Calaveras County,,Elementary School,Most Students,2011_2013,Percent,N_A
06009,County,Calaveras County,,Elementary School,Some Students,2011_2013,Percent,N_A
06009,County,Calaveras County,,Elementary School,Few Students,2011_2013,Percent,N_A
06009,County,Calaveras County,,Elementary School,Almost No Students,2011_2013,Percent,N_A
06009,County,Calaveras County,,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06009,County,Calaveras County,,Elementary School,Most Students,2013_2015,Percent,N_A
06009,County,Calaveras County,,Elementary School,Some Students,2013_2015,Percent,N_A
06009,County,Calaveras County,,Elementary School,Few Students,2013_2015,Percent,N_A
06009,County,Calaveras County,,Elementary School,Almost No Students,2013_2015,Percent,N_A
06605940,School District,Bret Harte Union High,Calaveras County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06605940,School District,Bret Harte Union High,Calaveras County,Elementary School,Most Students,2011_2013,Percent,N_A
06605940,School District,Bret Harte Union High,Calaveras County,Elementary School,Some Students,2011_2013,Percent,N_A
06605940,School District,Bret Harte Union High,Calaveras County,Elementary School,Few Students,2011_2013,Percent,N_A
06605940,School District,Bret Harte Union High,Calaveras County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06605940,School District,Bret Harte Union High,Calaveras County,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06605940,School District,Bret Harte Union High,Calaveras County,Elementary School,Most Students,2013_2015,Percent,N_A
06605940,School District,Bret Harte Union High,Calaveras County,Elementary School,Some Students,2013_2015,Percent,N_A
06605940,School District,Bret Harte Union High,Calaveras County,Elementary School,Few Students,2013_2015,Percent,N_A
06605940,School District,Bret Harte Union High,Calaveras County,Elementary School,Almost No Students,2013_2015,Percent,N_A
06606870,School District,Calaveras Unified,Calaveras County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06606870,School District,Calaveras Unified,Calaveras County,Elementary School,Most Students,2011_2013,Percent,N_A
06606870,School District,Calaveras Unified,Calaveras County,Elementary School,Some Students,2011_2013,Percent,N_A
06606870,School District,Calaveras Unified,Calaveras County,Elementary School,Few Students,2011_2013,Percent,N_A
06606870,School District,Calaveras Unified,Calaveras County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06011,County,Colusa County,,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06011,County,Colusa County,,Elementary School,Most Students,2011_2013,Percent,N_A
06011,County,Colusa County,,Elementary School,Some Students,2011_2013,Percent,N_A
06011,County,Colusa County,,Elementary School,Few Students,2011_2013,Percent,N_A
06011,County,Colusa County,,Elementary School,Almost No Students,2011_2013,Percent,N_A
06011,County,Colusa County,,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06011,County,Colusa County,,Elementary School,Most Students,2013_2015,Percent,N_A
06011,County,Colusa County,,Elementary School,Some Students,2013_2015,Percent,N_A
06011,County,Colusa County,,Elementary School,Few Students,2013_2015,Percent,N_A
06011,County,Colusa County,,Elementary School,Almost No Students,2013_2015,Percent,N_A
06609570,School District,Colusa Unified,Colusa County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06609570,School District,Colusa Unified,Colusa County,Elementary School,Most Students,2011_2013,Percent,N_A
06609570,School District,Colusa Unified,Colusa County,Elementary School,Some Students,2011_2013,Percent,N_A
06609570,School District,Colusa Unified,Colusa County,Elementary School,Few Students,2011_2013,Percent,N_A
06609570,School District,Colusa Unified,Colusa County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06609570,School District,Colusa Unified,Colusa County,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06609570,School District,Colusa Unified,Colusa County,Elementary School,Most Students,2013_2015,Percent,N_A
06609570,School District,Colusa Unified,Colusa County,Elementary School,Some Students,2013_2015,Percent,N_A
06609570,School District,Colusa Unified,Colusa County,Elementary School,Few Students,2013_2015,Percent,N_A
06609570,School District,Colusa Unified,Colusa County,Elementary School,Almost No Students,2013_2015,Percent,N_A
06630360,School District,Pierce Joint Unified,Colusa County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06630360,School District,Pierce Joint Unified,Colusa County,Elementary School,Most Students,2011_2013,Percent,N_A
06630360,School District,Pierce Joint Unified,Colusa County,Elementary School,Some Students,2011_2013,Percent,N_A
06630360,School District,Pierce Joint Unified,Colusa County,Elementary School,Few Students,2011_2013,Percent,N_A
06630360,School District,Pierce Joint Unified,Colusa County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06630360,School District,Pierce Joint Unified,Colusa County,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06630360,School District,Pierce Joint Unified,Colusa County,Elementary School,Most Students,2013_2015,Percent,N_A
06630360,School District,Pierce Joint Unified,Colusa County,Elementary School,Some Students,2013_2015,Percent,N_A
06630360,School District,Pierce Joint Unified,Colusa County,Elementary School,Few Students,2013_2015,Percent,N_A
06630360,School District,Pierce Joint Unified,Colusa County,Elementary School,Almost No Students,2013_2015,Percent,N_A
06013,County,Contra Costa County,,Elementary School,Nearly All Students,2011_2013,Percent,S
06013,County,Contra Costa County,,Elementary School,Most Students,2011_2013,Percent,S
06013,County,Contra Costa County,,Elementary School,Some Students,2011_2013,Percent,S
06013,County,Contra Costa County,,Elementary School,Few Students,2011_2013,Percent,S
06013,County,Contra Costa County,,Elementary School,Almost No Students,2011_2013,Percent,S
06013,County,Contra Costa County,,Elementary School,Nearly All Students,2013_2015,Percent,S
06013,County,Contra Costa County,,Elementary School,Most Students,2013_2015,Percent,S
06013,County,Contra Costa County,,Elementary School,Some Students,2013_2015,Percent,S
06013,County,Contra Costa County,,Elementary School,Few Students,2013_2015,Percent,S
06013,County,Contra Costa County,,Elementary School,Almost No Students,2013_2015,Percent,S
06691005,School District,Contra Costa County Office of Education,Contra Costa County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06691005,School District,Contra Costa County Office of Education,Contra Costa County,Elementary School,Most Students,2011_2013,Percent,N_A
06691005,School District,Contra Costa County Office of Education,Contra Costa County,Elementary School,Some Students,2011_2013,Percent,N_A
06691005,School District,Contra Costa County Office of Education,Contra Costa County,Elementary School,Few Students,2011_2013,Percent,N_A
06691005,School District,Contra Costa County Office of Education,Contra Costa County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06601650,School District,Acalanes Union High,Contra Costa County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06601650,School District,Acalanes Union High,Contra Costa County,Elementary School,Most Students,2011_2013,Percent,N_A
06601650,School District,Acalanes Union High,Contra Costa County,Elementary School,Some Students,2011_2013,Percent,N_A
06601650,School District,Acalanes Union High,Contra Costa County,Elementary School,Few Students,2011_2013,Percent,N_A
06601650,School District,Acalanes Union High,Contra Costa County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06602850,School District,Antioch Unified,Contra Costa County,Elementary School,Nearly All Students,2011_2013,Percent,4.0
06602850,School District,Antioch Unified,Contra Costa County,Elementary School,Most Students,2011_2013,Percent,56.6
06602850,School District,Antioch Unified,Contra Costa County,Elementary School,Some Students,2011_2013,Percent,34.3
06602850,School District,Antioch Unified,Contra Costa County,Elementary School,Few Students,2011_2013,Percent,5.1
06602850,School District,Antioch Unified,Contra Costa County,Elementary School,Almost No Students,2011_2013,Percent,0.0
06605910,School District,Brentwood Union Elementary,Contra Costa County,Elementary School,Nearly All Students,2011_2013,Percent,12.2
06605910,School District,Brentwood Union Elementary,Contra Costa County,Elementary School,Most Students,2011_2013,Percent,70.9
06605910,School District,Brentwood Union Elementary,Contra Costa County,Elementary School,Some Students,2011_2013,Percent,15.5
06605910,School District,Brentwood Union Elementary,Contra Costa County,Elementary School,Few Students,2011_2013,Percent,1.4
06605910,School District,Brentwood Union Elementary,Contra Costa County,Elementary School,Almost No Students,2011_2013,Percent,0.0
06605910,School District,Brentwood Union Elementary,Contra Costa County,Elementary School,Nearly All Students,2013_2015,Percent,10.2
06605910,School District,Brentwood Union Elementary,Contra Costa County,Elementary School,Most Students,2013_2015,Percent,68.4
06605910,School District,Brentwood Union Elementary,Contra Costa County,Elementary School,Some Students,2013_2015,Percent,20.0
06605910,School District,Brentwood Union Elementary,Contra Costa County,Elementary School,Few Students,2013_2015,Percent,1.4
06605910,School District,Brentwood Union Elementary,Contra Costa County,Elementary School,Almost No Students,2013_2015,Percent,0.0
06606750,School District,Byron Union Elementary,Contra Costa County,Elementary School,Nearly All Students,2011_2013,Percent,S
06606750,School District,Byron Union Elementary,Contra Costa County,Elementary School,Most Students,2011_2013,Percent,S
06606750,School District,Byron Union Elementary,Contra Costa County,Elementary School,Some Students,2011_2013,Percent,S
06606750,School District,Byron Union Elementary,Contra Costa County,Elementary School,Few Students,2011_2013,Percent,S
06606750,School District,Byron Union Elementary,Contra Costa County,Elementary School,Almost No Students,2011_2013,Percent,S
06621600,School District,Liberty Union High,Contra Costa County,Elementary School,Nearly All Students,2011_2013,Percent,N_A
06621600,School District,Liberty Union High,Contra Costa County,Elementary School,Most Students,2011_2013,Percent,N_A
06621600,School District,Liberty Union High,Contra Costa County,Elementary School,Some Students,2011_2013,Percent,N_A
06621600,School District,Liberty Union High,Contra Costa County,Elementary School,Few Students,2011_2013,Percent,N_A
06621600,School District,Liberty Union High,Contra Costa County,Elementary School,Almost No Students,2011_2013,Percent,N_A
06621600,School District,Liberty Union High,Contra Costa County,Elementary School,Nearly All Students,2013_2015,Percent,N_A
06621600,School District,Liberty Union High,Contra Costa County,Elementary School,Most Students,2013_2015,Percent,N_A
06621600,School District,Liberty Union High,Contra Costa County,Elementary School,Some Students,2013_2015,Percent,N_A
06621600,School District,Liberty Union High,Contra Costa County,Elementary School,Few Students,2013_2015,Percent,N_A
06621600,School District,Liberty Union High,Contra Costa County,Elementary School,Almost No Students,2013_2015,Percent,N_A
06625740,School District,Moraga Elementary,Contra Costa County,Elementary School,Nearly All Students,2013_2015,Percent,59.7
06625740,School District,Moraga Elementary,Contra Costa County,Elementary School,Most Students,2013_2015,Percent,38.7
06625740,School District,Moraga Elementary,Contra Costa County,Elementary School,Some Students,2013_2015,Percent,1.6
06625740,School District,Moraga Elementary,Contra Costa County,Elementary School,Few Students,2013_2015,Percent,0.0
06625740,School District,Moraga Elementary,Contra Costa County,Elementary School,Almost No Students,2013_2015,Percent,0.0
06626370,School District,Mt. Diablo Unified,Contra Costa County,Elementary School,Nearly All Students,2011_2013,Percent,15.6
06626370,School District,Mt. Diablo Unified,Contra Costa County,Elementary School,Most Students,2011_2013,Percent,58.4
